# https://refractiveindex.info/?shelf=main&book=H2O&page=Hale
# ﻿Wavelength micron, n, k
2.62 1.1957 0.00135
2.675 1.1741 0.00342
2.725 1.1473 0.00792
2.778 1.1077 0.02
2.817 1.0674 0.038
2.833 1.0476 0.052
2.849 1.0265 0.068
2.865 1.0036 0.0923
2.882 0.982 0.127
2.899 0.965 0.169
2.915 0.9596 0.221
2.933 0.9727 0.276
2.95 0.9917 0.312
2.967 1.0067 0.347
2.985 1.0219 0.388
3.003 1.0427 0.438
3.021 1.076 0.493
3.04 1.1295 0.554
3.058 1.2127 0.612
3.077 1.3251 0.625
3.096 1.426 0.593
3.115 1.4966 0.539
3.135 1.551 0.491
3.155 1.5999 0.438
3.175 1.6363 0.372
3.195 1.6502 0.3
3.215 1.6428 0.238
3.236 1.6269 0.193
3.257 1.6128 0.158
3.279 1.5924 0.121
3.3 1.5733 0.103
3.322 1.5577 0.0836
3.345 1.5413 0.0668
3.367 1.5265 0.054
3.39 1.5114 0.0422
3.413 1.4973 0.0342
3.436 1.4845 0.0274
3.46 1.4721 0.022
3.484 1.4612 0.0186
3.509 1.4513 0.0152
3.534 1.4421 0.0126
3.559 1.4337 0.0106
3.624 1.4155 0.00802
3.732 1.3942 0.00685
3.775 1.3873 0.0066
3.847 1.3773 0.00696
3.969 1.3645 0.00916
4.099 1.3541 0.0111
4.239 1.3446 0.0145
4.348 1.3388 0.02
4.387 1.3381 0.023
4.444 1.3385 0.026
4.505 1.3405 0.029
4.547 1.3429 0.0293
4.56 1.3442 0.03
4.58 1.3463 0.0285
4.719 1.3442 0.0173
4.904 1.3345 0.0129
5 1.329 0.012
5.1 1.3233 0.0125
5.2 1.318 0.0134
5.263 1.3143 0.014
5.4 1.3062 0.0175
5.556 1.2972 0.024
5.714 1.289 0.035
5.747 1.2873 0.038
5.78 1.286 0.042
5.814 1.2851 0.046
5.848 1.2854 0.052
5.882 1.2881 0.057
6.061 1.3016 0.069
6.135 1.309 0.07
6.25 1.3172 0.067
6.289 1.3189 0.065
6.329 1.3204 0.064
6.369 1.322 0.062
6.41 1.3224 0.059
6.452 1.3215 0.057
6.494 1.3204 0.056
6.579 1.3181 0.055
6.667 1.3171 0.057
6.757 1.3181 0.058
6.897 1.3195 0.057
7.042 1.3193 0.055
7.143 1.319 0.055
7.246 1.3191 0.054
7.353 1.318 0.052
7.463 1.3163 0.052
7.576 1.3154 0.052
7.692 1.3154 0.052
7.812 1.3155 0.05
7.937 1.3145 0.047
8.065 1.3119 0.043
8.197 1.3068 0.039
8.333 1.2993 0.037
8.475 1.2925 0.039
8.696 1.2839 0.04
8.929 1.274 0.042
9.091 1.2672 0.044
9.259 1.2599 0.045
9.524 1.2451 0.046
9.804 1.2224 0.047
10 1.1991 0.051
10.2 1.1715 0.065
10.31 1.1553 0.075
10.42 1.137 0.088
10.53 1.1181 0.108
10.64 1.1013 0.134
10.75 1.0908 0.168
10.87 1.0873 0.204
11 1.0925 0.248
