# Ossenkopf+1992, Fig.10, cool oxygen-rich silicates
# http://esoads.eso.org/abs/1992A%26A...261..567O
# wlen(micron) Re(m) Im(m)
27.2641143253 2.6745427482 0.929207722337
28.8353877178 2.71280291843 0.880218731071
29.3138994244 2.7244545759 0.871284313368
31.632446076 2.7865090399 0.827994120117
34.1431944219 2.86264076965 0.781115278571
34.3162090075 2.86583708356 0.77788487782
37.8481360761 2.93108677082 0.702314453648
40.7623363901 2.94997898608 0.639961140691
45.226883619 2.97892181025 0.551950542086
48.3167867353 2.99305269517 0.491038604332
52.7828677093 3.01347717903 0.450346208624
54.9076743642 3.01607537758 0.430986176034
61.8601860622 3.02457685972 0.388668064737
63.6820041977 3.02625259855 0.377579136595
72.8648925895 3.0346991731 0.332524076747
73.1001374547 3.03491555526 0.331594823562
82.8082464081 3.04458380874 0.293246308897
87.1273747961 3.04888520547 0.280305245649
95.3855673067 3.05223750862 0.255561875695
102.825621767 3.05525769955 0.237575264533
109.862688058 3.05748522827 0.220562892407
122.390344048 3.06145076056 0.199358598213
125.701670265 3.06166656903 0.193753851775
143.826006669 3.06284778311 0.170424823317
144.604986515 3.06289855142 0.169601914868
165.658215525 3.06484402329 0.147361442157
172.107572157 3.06543999087 0.142434758891
191.071819079 3.06707268346 0.127947912635
202.018147792 3.06801508786 0.121353114782
215.028911524 3.06844565118 0.113514563705
240.434603262 3.06928639806 0.101674819696
244.777064535 3.06940940011 0.0996511145214
283.84629858 3.07051605262 0.0858584215979
284.07394203 3.07052250071 0.0857993658124
324.761072918 3.07070264349 0.0752442170638
344.98922756 3.07079220389 0.0710742464625
369.065476548 3.07102332361 0.0661110032875
407.600679701 3.07139324192 0.0602375706195
425.117497737 3.07115424549 0.0575677040332
485.09067692 3.07033598185 0.0505482262463
492.973657414 3.07043822959 0.0496255737001
567.869269393 3.07140967778 0.0434064783947
569.379104356 3.07142926139 0.0433207321232
654.233401123 3.07110064142 0.038501702398
686.934284337 3.07097399889 0.0368266249959
753.570459079 3.07162639763 0.0334132385825
816.967170225 3.07224708054 0.0306970889319
867.848240657 3.07120556953 0.0285171556329
